htop 3.1.2-1
hunspell 1.7.0-3
hwdata 0.358-1
hwloc 2.7.1-1
hyphen 2.8.8-3
i3-gaps 4.20.1-2
i3lock 2.13-1
i3status 2.14-1
iana-etc 20220325-1
ibus 1.5.26-2
icu 71.1-1
ijs 0.35-3
imagemagick 7.1.0.30-1
imath 3.1.5-1
imlib2 1.8.1-1
iniparser 4.1-4
inkscape 1.1.2-2
intel-gmmlib 22.1.2-1
intel-media-driver 22.3.1-1
intel-ucode 20220207-1
inxi 3.3.15.1-1
iproute2 5.17.0-2
iptables 1:1.8.7-1
iputils 20211215-1
ipython 8.2.0-1
iso-codes 4.9.0-1
jack2 1.9.21-1
jansson 2.14-1
jasper 2.0.33-1
java-environment-common 3-3
java-runtime-common 3-3
java11-openjfx 11.0.15.u2-1
jbig2dec 0.19-1
jdk-openjdk 18.0.1.u10-1
jemalloc 1:5.2.1-6
jitterentropy 3.4.0-1
jq 1.6-4
jre-openjdk 18.0.1.u10-1
jre-openjdk-headless 18.0.1.u10-1
jre11-openjdk 11.0.15.u10-1
jre11-openjdk-headless 11.0.15.u10-1
jre8-openjdk 8.332.u04-1
jre8-openjdk-headless 8.332.u04-1
js78 78.15.0-4
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-1
jupyter-nbclient 0.6.0-1
jupyter-nbconvert 6.5.0-3
jupyter-nbformat 5.3.0-2
jupyter-notebook-shim 0.1.0-1
jupyter-server 1.16.0-2
jupyterlab 3.3.4-1
jupyterlab_pygments 0.2.0-1
jxrlib 0.2.4-1
karchive 5.93.0-1
kauth 5.93.0-1
kbd 2.4.0-2
kbookmarks 5.93.0-1
kcmutils 5.93.0-1
kcodecs 5.93.0-1
kcompletion 5.93.0-1
kconfig 5.93.0-1
kconfigwidgets 5.93.0-1
kcoreaddons 5.93.0-1
kcrash 5.93.0-1
kdbusaddons 5.93.0-1
kdeclarative 5.93.0-1
kded 5.93.0-1
keyutils 1.6.3-1
kglobalaccel 5.93.0-1
kguiaddons 5.93.0-1
ki18n 5.93.0-1
kiconthemes 5.93.0-1
kio 5.93.0-1
kirigami2 5.93.0-1
kitemviews 5.93.0-1
kjobwidgets 5.93.0-1
kmod 29-3
knotifications 5.93.0-1
kpackage 5.93.0-1
krb5 1.19.3-1
kservice 5.93.0-1
ktextwidgets 5.93.0-1
